video_id,track_id,frame,x,y
video3,1,1,618.5111694335938,652.8199259440104
video3,2,1,124.12286376953125,599.1945054796007
video3,3,1,703.2946166992188,635.4928600169994
video3,1,2,618.0543534441692,652.7469917111281
video3,2,2,127.54633297803926,599.1579327839177
video3,3,2,702.5610958936738,635.3156142816312
video3,1,3,616.7862937463899,652.6763412492853
video3,2,3,129.67542484705064,599.5927818640813
video3,3,3,702.4219951823899,635.23227316656
video3,1,4,616.0121943464701,653.1635279457133
video3,2,4,131.89256635373707,600.8921392978361
video3,3,4,701.3599255304871,634.8260753516294
video3,1,5,615.4734752089042,653.4661946133745
video3,2,5,134.08788056745712,601.1696110030223
video3,3,5,701.0985759494906,634.7362767094053
video3,1,6,614.3427555781255,653.8781616696117
video3,2,6,137.75046074088542,600.9483486598814
video3,3,6,700.9267933883739,635.4578650003845
video3,1,7,613.103164643412,654.1999354300906
video3,2,7,139.74493845950047,601.0959589396568
video3,3,7,697.7889048359467,636.5078150606276
video3,1,8,612.7824521603203,654.4989942052699
video3,2,8,142.41699850039836,601.7049740974817
video3,3,8,696.9309593436536,636.6892796351118
video3,1,9,612.2225050765685,655.1400977639213
video3,2,9,144.76453011829813,601.6016552008302
video3,3,9,695.7834773941929,637.3581050889136
video3,1,10,611.6714685307621,655.1888787611864
video3,2,10,147.9602773184287,602.1339123946068
video3,3,10,694.9070394346037,637.6086688670762
video3,1,11,610.6533765227513,655.2753591040906
video3,2,11,150.2958977428232,602.7964762598773
video3,3,11,693.9131596270753,638.8337023388535
video3,1,12,609.8971335704654,655.4575981556056
video3,2,12,152.50951711088962,603.5997165867699
video3,3,12,693.2270484017266,638.8833682503266
video3,1,13,608.8279557453018,655.2782781608216
video3,2,13,154.4488085056939,604.8386713724684
video3,3,13,693.0577658404893,638.864914213098
video3,1,14,608.1697721544051,655.8764947482748
video3,2,14,156.42227061527436,605.5918912340835
video3,3,14,692.9816345025376,639.5203841536228
video3,1,15,607.7544694043828,656.1536886308468
video3,2,15,158.3888907586683,606.5121828540149
video3,3,15,693.0542417525328,639.7084181952794
video3,1,16,606.8704461587421,656.1188344018293
video3,2,16,160.26244456124107,606.8741983522631
video3,3,16,692.1459480957792,639.7014288786002
video3,1,17,605.9401904183014,656.5113502210693
video3,2,17,162.88281474278034,606.3593394205413
video3,3,17,691.3932499907921,640.0810226406504
video3,1,18,605.434944293831,656.9411872740936
video3,2,18,164.78523856002533,606.834224366574
video3,3,18,689.9536270148515,640.0961064206055
video3,1,19,604.8301542123413,657.0974663360956
video3,2,19,167.2756524299819,607.7088559520621
video3,3,19,688.461684027784,640.0549827409694
video3,1,20,603.5431829080452,656.8775256569359
video3,2,20,169.97724236746174,608.1709924180695
video3,3,20,687.2047242161073,640.7058251962437
video3,1,21,603.3930006623361,657.0601401288661
video3,2,21,171.9450761382707,608.5030138896599
video3,3,21,686.4645723947957,641.2246759862888
video3,1,22,603.2088171994286,657.4668651017001
